Entry	Status	Gene names	Subcellular location [CC]
Q4VC33	reviewed	Maea Emp	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17071116}. Nucleus, nucleoplasm {ECO:0000250|UniProtKB:Q7L5Y9}. Nucleus matrix {ECO:0000269|PubMed:17071116}. Cell membrane {ECO:0000269|PubMed:17071116}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:16707498, ECO:0000269|PubMed:17071116}. Note=Detected in a nuclear, speckled-like pattern (PubMed:17071116). Localized with condensed chromatin at prophase; Detected in nuclear spindle poles at metaphase and in the contractile ring during telophase and cytokinesis (By similarity). Present in cytoplasm, nuclear matrix and at the cell surface in macrophages; predominantly nuclear in immature macrophages and predominantly detected at the cell surface in mature macrophages (PubMed:17071116). Colocalizes with F-actin in macrophages (PubMed:16707498). {ECO:0000250|UniProtKB:Q7L5Y9, ECO:0000269|PubMed:16707498, ECO:0000269|PubMed:17071116}.
P62322	reviewed	Lsm5	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9Y4Y9}.
P31315	reviewed	Gsx1 Gsh-1 Gsh1	SUBCELLULAR LOCATION: Nucleus.
P15261	reviewed	Ifngr1 Ifngr	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:2137461, ECO:0000269|PubMed:2530216, ECO:0000269|PubMed:2530582, ECO:0000269|PubMed:2531896, ECO:0000269|PubMed:2532365}; Single-pass type I membrane protein {ECO:0000255}.
Q91VD1	reviewed	Lgals12	SUBCELLULAR LOCATION: Nucleus.
Q63ZW7	reviewed	Patj Cipp Inadl	SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000250|UniProtKB:Q8NI35}. Apical cell membrane {ECO:0000250|UniProtKB:Q8NI35}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q8NI35}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:14988405}. Note=Localizes to tight junctions in epithelial cells (By similarity). Also found at the apical plasma membrane (By similarity). Localized in the paranodal region of myelinating Schwann cells (PubMed:12403818). {ECO:0000250|UniProtKB:Q8NI35, ECO:0000269|PubMed:12403818}.; SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm. Cytoplasm, perinuclear region. Note=Concentrates around the nucleus upon HTR2A coexpression. Cytoplasm, perinuclear region.
Q61831	reviewed	Mapk10 Jnk3 Prkm10 Serk2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17724133}. Membrane {ECO:0000269|PubMed:17724133}; Lipid-anchor {ECO:0000269|PubMed:17724133}. Nucleus {ECO:0000269|PubMed:17724133}. Mitochondrion {ECO:0000269|PubMed:17724133}. Note=Palmitoylation regulates MAPK10 trafficking to cytoskeleton (By similarity). Recruited to the mitochondria in the presence of SARM1. {ECO:0000250}.
Q9D0M1	reviewed	Prpsap1	
Q6P8G8	reviewed	Orai3 Tmem142c	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q8CG19	reviewed	Ltbp1	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q14766}. Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q14766}.
Q6GQV1	reviewed	Insyn2b Fam196b	
Q8CH62	reviewed	Lto1 Oraov1	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P53846}.
Q3UV16	reviewed	Itpripl2	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q8BWD2	reviewed	Ip6k3 Ihpk3	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q9D9K8	reviewed	Iqcf1	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:25380116}.
H3BJG9	reviewed	Ly6l Gm20654	SUBCELLULAR LOCATION: Cell membrane {ECO:0000255}; Lipid-anchor, GPI-anchor {ECO:0000255}.
Q9D5U0	reviewed	Lpcat2b Aytl1b	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8VE62	reviewed	Paip1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
Q8VGS1	reviewed	Olfr1038 Mor185-3 Olfr1038-ps	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q64322	reviewed	Npdc1 Npdc-1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q9Z0P4	reviewed	Palm	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor; Cytoplasmic side. Cell projection, filopodium membrane; Lipid-anchor. Cell projection, axon {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Cell projection, dendritic spine. Basolateral cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Apicolateral cell membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Note=Translocation to the plasma membrane is enhanced upon stimulation of neuronal activity. {ECO:0000250}.
Q9WUV0	reviewed	Orc5 Orc5l	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O43913}. Chlorosome {ECO:0000250|UniProtKB:O43913}.
P06879	reviewed	Prl	SUBCELLULAR LOCATION: Secreted.
Q8K2Y0	reviewed	Obi1 Rnf219	SUBCELLULAR LOCATION: Chromosome {ECO:0000250|UniProtKB:Q5W0B1}. Note=Association to chromatin is cell cycle-regulated, absent from mitotic chromosomes, is associated with chromatin from G1 and partially released from chromatin from mid S-phase. {ECO:0000250|UniProtKB:Q5W0B1}.
Q8R2U4	reviewed	Ntmt1 Mettl11a	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9BV86}. Note=Predominantly nuclear. {ECO:0000250|UniProtKB:Q9BV86}.
Q9EQS3	reviewed	Mycbp Amy1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Note=Translocates into the nucleus in the S phase of the cell cycle. {ECO:0000250}.
Q60891	reviewed	Olfr139 Mor255-2 Olfr1	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q6PFG8	reviewed	Olig3 Bhlhb7	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981, ECO:0000269|PubMed:11091082, ECO:0000269|PubMed:11960707}.
Q7M758	reviewed	Naaladl1 Gm964 Naaladasel	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:O54697}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:O54697}. Note=Ileal brush border membrane. {ECO:0000250|UniProtKB:O54697}.
P03893	reviewed	Mtnd2 mt-Nd2 Nd2	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.
Q2PFD7	reviewed	Psd3 Efa6d Kiaa0942	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23603394}. Cell projection, ruffle membrane {ECO:0000269|PubMed:23603394}. Cell junction, synapse, postsynaptic density {ECO:0000269|PubMed:16707115}. Note=In interphase associated with the plasma membrane, in particular with membrane ruffling regions. {ECO:0000269|PubMed:23603394}.
Q99J45	reviewed	Nrbp1 Madm Nrbp	SUBCELLULAR LOCATION: Cytoplasm, cell cortex {ECO:0000269|PubMed:12176995}. Endomembrane system {ECO:0000269|PubMed:12176995}. Cell projection, lamellipodium {ECO:0000269|PubMed:12176995}. Note=Colocalizes with activated RAC3 to endomembranes and at the cell periphery in lamellipodia.
Q01727	reviewed	Mc1r Msh-r	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q8R4K8	reviewed	Pappa	SUBCELLULAR LOCATION: Secreted.
Q9CQJ8	reviewed	Ndufb9	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9Y6M9}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9Y6M9}; Matrix side {ECO:0000250|UniProtKB:Q9Y6M9}.
Q9CQY7	reviewed	Mmd Paqr11	SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Lysosome membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9CQY9	reviewed	Ndufc1	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q02376}; Single-pass membrane protein {ECO:0000250|UniProtKB:Q02376}; Matrix side {ECO:0000250|UniProtKB:Q02376}.
Q9D1H6	reviewed	Ndufaf4 Hrpap20	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}. Membrane {ECO:0000250|UniProtKB:Q9P032}; Lipid-anchor {ECO:0000250|UniProtKB:Q9P032}.
Q2EMV9	reviewed	Parp14 Kiaa1268	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16537510}. Cytoplasm {ECO:0000269|PubMed:16537510}. Note=In steady state cells the protein is mostly nuclear (PubMed:16537510). A minor proportion is detected in the cytoplasm (PubMed:16537510). In macrophages, mainly localizes to the cytoplasm (By similarity). {ECO:0000250|UniProtKB:Q460N5, ECO:0000269|PubMed:16537510}.
Q91WD5	reviewed	Ndufs2	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:O75306}; Peripheral membrane protein {ECO:0000250|UniProtKB:O75306}; Matrix side {ECO:0000250|UniProtKB:O75306}.
O09043	reviewed	Napsa Kdap Nap	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q3UYV9	reviewed	Ncbp1 Cbp80	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:22767893}. Cytoplasm {ECO:0000250|UniProtKB:Q09161}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. {ECO:0000250|UniProtKB:Q09161}.
Q6ZWV7	reviewed	Rpl35	
P21661	reviewed	Pcsk2 Nec-2 Nec2	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle {ECO:0000250|UniProtKB:P16519}. Secreted {ECO:0000250|UniProtKB:P16519}. Note=Localized in the secretion granules. {ECO:0000250|UniProtKB:P16519}.
Q8BG18	reviewed	Necab1 Efcbp1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12044471}.
Q99PD7	reviewed	Slc24a3 Nckx3	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
Q5PT54	reviewed	Slc10a5 Gm405	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
D3Z750	reviewed	Mroh2a Heatr7b1	
Q91WW4	reviewed	Mrgpra2 Mrga2	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
Q9WVG9	reviewed	Msl3 Msl31 Msl3l1	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00972}.
Q63932	reviewed	Map2k2 Mek2 Mkk2 Prkmk2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10409742}. Membrane {ECO:0000269|PubMed:10409742}; Peripheral membrane protein {ECO:0000269|PubMed:10409742}. Note=Membrane localization is probably regulated by its interaction with KSR1. {ECO:0000269|PubMed:10409742}.
Q80YT7	reviewed	Pde4dip Kiaa0454	SUBCELLULAR LOCATION: [Isoform 2]: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q5VU43}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q5VU43}. Golgi apparatus {ECO:0000250|UniProtKB:Q5VU43}. Note=Associated with the microtubule network at the growing distal tip of microtubules. Targeting to the Golgi apparatus requires AKAP9. {ECO:0000250|UniProtKB:Q5VU43}.
Q9CZU3	reviewed	Mtrex Skiv2l2	SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000250}. Nucleus, nucleolus {ECO:0000250}. Nucleus {ECO:0000250|UniProtKB:P42285}. Nucleus speckle {ECO:0000250|UniProtKB:P42285}.
Q9D6S7	reviewed	Mrrf	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250}.
P47964	reviewed	Rpl36	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9Y3U8}. Cytoplasm {ECO:0000250|UniProtKB:Q9Y3U8}. Note=Detected on cytosolic polysomes. {ECO:0000250|UniProtKB:Q2YGT9, ECO:0000250|UniProtKB:Q9Y3U8}.
Q80XE1	reviewed	Ric8b	SUBCELLULAR LOCATION: Cytoplasm, cell cortex {ECO:0000250}. Note=Localizes to the cell cortex. {ECO:0000250}.
Q62556	reviewed	Btn1a1 Btn	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein. Note=Secreted in association with the milk-fat-globule membrane during lactation.
Q3ULM0	reviewed	Ccdc106 MNCb-2071	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Note=Colocalizes with p53/TP53. {ECO:0000250}.
A6H666	reviewed	Cox8c	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250}.
Q8BNJ2	reviewed	Adamts4	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.
A2CG63	reviewed	Arid4b Sap180	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00355}.
Q8CHC8	reviewed	Adnp2 Kiaa0863 Zfp508 Znf508	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
O88566	reviewed	Axin2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9Y2T1}.
Q8K207	reviewed		
Q8BP99	reviewed		
P15116	reviewed	Cdh2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:17988630, ECO:0000269|PubMed:26403541, ECO:0000269|PubMed:9655503}; Single-pass type I membrane protein {ECO:0000255}. Cell membrane, sarcolemma {ECO:0000269|PubMed:23392350}. Cell junction {ECO:0000250|UniProtKB:P19022}. Cell surface {ECO:0000269|PubMed:25232112, ECO:0000269|PubMed:9655503}. Note=Colocalizes with TMEM65 at the intercalated disk in cardiomyocytes (PubMed:26403541). Colocalizes with OBSCN at the intercalated disk and sarcolemma in cardiomyocytes (PubMed:23392350). {ECO:0000269|PubMed:23392350, ECO:0000269|PubMed:26403541}.
Q8C9E8	reviewed	Calhm6 Fam26f	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8CJF9	reviewed	Ago3 Eif2c3	SUBCELLULAR LOCATION: Cytoplasm, P-body {ECO:0000255|HAMAP-Rule:MF_03032}.
Q8K064	reviewed	Fam174b	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q3ZCQ3}; Single-pass type I membrane protein {ECO:0000255}. Golgi apparatus {ECO:0000250|UniProtKB:Q3ZCQ3}.
Q9D1M7	reviewed	Fkbp11	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q91W61	reviewed	Fbxl15 Fbxo37	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
O35601	reviewed	Fyb1 Fyb	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O15117}. Nucleus {ECO:0000255|PROSITE-ProRule:PRU00768}. Cell junction {ECO:0000269|PubMed:21881001}. Note=Colocalizes with TMEM47 at cell-cell contacts in podocytes. {ECO:0000269|PubMed:21881001}.
Q9D518	reviewed	Fam227b	
Q9D2N4	reviewed	Dtna Dtn	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:14623885}. Cell junction, synapse {ECO:0000269|PubMed:14623885}. Cell membrane {ECO:0000269|PubMed:14623885}. Note=In peripheral nerves, colocalizes with MAGEE1 in the Schwann cell membrane.
Q8BYI8	reviewed	Fam234b Kiaa1467	SUBCELLULAR LOCATION: Membrane {ECO:0000255}; Single-pass membrane protein {ECO:0000255}. Postsynaptic Golgi apparatus {ECO:0000250|UniProtKB:D3ZWJ9}. Cytoplasm, cytoskeleton, microtubule organizing center {ECO:0000250|UniProtKB:D3ZWJ9}. Note=Localizes to the postsynaptic Golgi apparatus region, also named Golgi outpost, which shapes dendrite morphology by functioning as sites of acentrosomal microtubule nucleation. {ECO:0000250|UniProtKB:D3ZWJ9}.
A2A9Q0	reviewed	Fndc10	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Q8C627	reviewed	Fam221b	
Q8CG64	reviewed	Fkrp	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:12471058, ECO:0000269|PubMed:17554798}; Single-pass type II membrane protein {ECO:0000305}. Secreted {ECO:0000269|PubMed:19900540}. Cell membrane, sarcolemma {ECO:0000269|PubMed:17452335}. Rough endoplasmic reticulum {ECO:0000250|UniProtKB:Q9H9S5}. Cytoplasm {ECO:0000269|PubMed:29416295}. Note=The N-terminal hydrophobic domain is cleaved after translocation to the Golgi apparatus and the protein is secreted (PubMed:19900540). Localization at the cell membrane may require the presence of dystroglycan (PubMed:17452335). At the Golgi apparatus localizes to the middle-to-trans-cisternae (PubMed:12471058, PubMed:17554798). Detected in rough endoplasmic reticulum in myocytes (By similarity). {ECO:0000250|UniProtKB:Q9H9S5, ECO:0000269|PubMed:12471058, ECO:0000269|PubMed:17452335, ECO:0000269|PubMed:17554798, ECO:0000269|PubMed:19900540}.
Q80TY0	reviewed	Fnbp1 Fbp17 Kiaa0554	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, cell cortex {ECO:0000250}. Lysosome {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Membrane, clathrin-coated pit {ECO:0000250}. Note=Enriched in cortical regions coincident with F-actin. Also localizes to endocytic vesicles and lysosomes. {ECO:0000250}.
Q91V82	reviewed	Defb8	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
P60843	reviewed	Eif4a1 Ddx2a Eif4a	
Q60872	reviewed	Eif1a	
Q9WVI9	reviewed	Mapk8ip1 Ib1 Jip1 Mapk8ip Prkm8ip	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Nucleus {ECO:0000250}. Endoplasmic reticulum membrane {ECO:0000250}. Mitochondrion membrane {ECO:0000250}. Note=Accumulates in cell surface projections. Under certain stress conditions, translocates to the perinuclear region of neurons. In insulin-secreting cells, detected in both the cytoplasm and nucleus (By similarity). {ECO:0000250}.
Q8C7H1	reviewed	Mmaa	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q8IVH4}.
Q99K74	reviewed	Med24 D11Ertd307e Thrap4 Trap100	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q562E2	reviewed	Kctd19	
B1B212	reviewed	H60b	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18209064}; Single-pass type I membrane protein {ECO:0000255}.
Q6NS57	reviewed	Mapkbp1 Jnkbp1 Kiaa0596	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O60336}. Nucleus {ECO:0000250|UniProtKB:O60336}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:O60336}. Note=Not detected in the cilium. Localized around the poles of the mitotic spindle from prophase to anaphase in mitotic cells. {ECO:0000250|UniProtKB:O60336}.
P01643	reviewed		
Q6P8J7	reviewed	Ckmt2	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Intermembrane side {ECO:0000250}.
Q99NE9	reviewed	Pbx4	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.
Q80SY4	reviewed	Mib1 Dip1 Kiaa1323 Mib	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite {ECO:0000250}. Cytoplasm. Cell membrane. Note=Displaced from centriolar satellites in response to cellular stress, such as ultraviolet light (UV) radiation or heat shock (By similarity). Localizes to the plasma membrane. {ECO:0000250}.
E9PYL2	reviewed	Prr12 Kiaa1205	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:26163108}. Cell junction, synapse, postsynaptic density {ECO:0000269|PubMed:26163108}. Cell junction, synapse, synaptosome {ECO:0000269|PubMed:26163108}. Note=A smaller form of approximately 150 kDa has been found in perisynapse, synaptosomes and postsynaptic density in 15 dpc, P1 and adult brains. {ECO:0000269|PubMed:26163108}.
Q9QYR6	reviewed	Map1a Mtap1 Mtap1a	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000305}.
Q9QXW9	reviewed	Slc7a8 Lat2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Basolateral cell membrane {ECO:0000269|PubMed:10574970}; Multi-pass membrane protein {ECO:0000269|PubMed:10574970}. Note=Localized to the cytoplasm when expressed alone (By similarity). When coexpressed with SLC3A2/4F2hc, is localized to the plasma membrane. Colocalized with SLC3A2/4F2hc at the basolateral membrane of kidney cortex proximal tubules and small intestine epithelia of the villi. {ECO:0000250}.
Q8CJ19	reviewed	Mical3 Kiaa0819 Kiaa1364	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q7RTP6}. Cytoplasm, cell cortex {ECO:0000250|UniProtKB:Q7RTP6}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q7RTP6}. Nucleus {ECO:0000250|UniProtKB:Q7RTP6}. Midbody {ECO:0000250|UniProtKB:Q7RTP6}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q7RTP6}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q7RTP6}. Note=Mainly localizes in the nucleus. {ECO:0000250|UniProtKB:Q7RTP6}.
Q9CPW9	reviewed	Metap1d Map1d Metapl1 Mnpepl	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03174}.
Q9D9B7	reviewed	Prr30	
Q99JN2	reviewed	Klhl22	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q53GT1}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q53GT1}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q53GT1}. Nucleus {ECO:0000250|UniProtKB:Q53GT1}. Lysosome {ECO:0000250|UniProtKB:Q53GT1}. Note=Mainly cytoplasmic in prophase and prometaphase. Associates with the mitotic spindle as the cells reach chromosome bi-orientation. Localizes to the centrosomes shortly before cells enter anaphase After anaphase onset, predominantly associates with the polar microtubules connecting the 2 opposing centrosomes and gradually diffuses into the cytoplasm during telophase. Localizes to the nucleus upon amino acid starvation. Relocalizes to the cytosol and associates with lysosomes when amino acids are available. {ECO:0000250|UniProtKB:Q53GT1}.
Q9D2Z8	reviewed	Kif12	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000305}.
Q9Z175	reviewed	Loxl3 Lor2	SUBCELLULAR LOCATION: Secreted, extracellular space {ECO:0000269|PubMed:26954549}. Cytoplasm {ECO:0000250|UniProtKB:P58215}. Nucleus {ECO:0000250|UniProtKB:P58215}. Note=It is unclear how LOXL3 is both intracellular (cytoplasmic and nuclear) and extracellular: it contains a clear signal sequence and is predicted to localize in the extracellular medium. However, the intracellular location is clearly reported and at least another protein of the family (LOXL2) also has intracellular and extracellular localization despite the presence of a signal sequence. {ECO:0000250|UniProtKB:P58215}.
E0CZ16	reviewed	Klhl3	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9UH77}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9UH77}.
O35344	reviewed	Kpna3 Qip2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.
Q9Z0M1	reviewed	Klk4 EMSP1 KLK-L1 Prss17	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q6JVL5	reviewed	Lcn12	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Q9JI18	reviewed	Lrp1b Lrpdit	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Q91ZX7	reviewed	Lrp1 A2mr	SUBCELLULAR LOCATION: [Low-density lipoprotein receptor-related protein 1 85 kDa subunit]: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Membrane, coated pit {ECO:0000250}.; SUBCELLULAR LOCATION: [Low-density lipoprotein receptor-related protein 1 515 kDa subunit]: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Extracellular side {ECO:0000250}. Membrane, coated pit {ECO:0000250}.; SUBCELLULAR LOCATION: [Low-density lipoprotein receptor-related protein 1 intracellular domain]: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Note=After cleavage, the intracellular domain (LRPICD) is detected both in the cytoplasm and in the nucleus. {ECO:0000250}.; SUBCELLULAR LOCATION: Postsynaptic Golgi apparatus {ECO:0000250|UniProtKB:G3V928}. Cytoplasm, cytoskeleton, microtubule organizing center {ECO:0000250|UniProtKB:G3V928}. Note=Localizes to the postsynaptic Golgi apparatus region, also named Golgi outpost, which shapes dendrite morphology by functioning as sites of acentrosomal microtubule nucleation. {ECO:0000250|UniProtKB:G3V928}.
Q9D7F2	reviewed	Lypd6b	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}.
Q8VDB8	reviewed	Lrrc2	
Q91ZP3	reviewed	Lpin1 Fld	SUBCELLULAR LOCATION: [Isoform 1]: Mitochondrion outer membrane {ECO:0000269|PubMed:21397848}. Cytoplasm {ECO:0000269|PubMed:21397848}. Nucleus membrane {ECO:0000269|PubMed:21397848}. Note=Recruited at the mitochondrion outer membrane following phosphatidic acid formation mediated by PLD6. In neuronals cells, isoform 1 is exclusively cytoplasmic. In 3T3-L1 pre-adipocytes, it primarily located in the cytoplasm.; SUBCELLULAR LOCATION: [Isoform 2]: Nucleus. Cytoplasm. Endoplasmic reticulum membrane. Note=Nuclear localization requires both CNEP1R1 and CTDNEP1. In neuronals cells, localized in both the cytoplasm and the nucleus. In 3T3-L1 pre-adipocytes, it is predominantly nuclear.
P10648	reviewed	Gsta2	
Q8K377	reviewed	Lrrtm1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Cell junction, synapse, postsynaptic cell membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}. Note=Accumulates extensively in the endoplasmic reticulum of transfected nonneuronal cells. {ECO:0000269|PubMed:17667961, ECO:0000269|Ref.5}.
Q9CXJ4	reviewed	Abcb8 Mitosur	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9NUT2}; Multi-pass membrane protein {ECO:0000255|PROSITE-ProRule:PRU00441}.
Q8VC85	reviewed	Lsm1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O15116}. Cytoplasm, P-body {ECO:0000250|UniProtKB:O15116}.
O08717	reviewed	Inhbe	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Q80V26	reviewed	Impad1 Impa3	SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:18695242}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:18695242}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:Q9NX62}. Note=The catalytic core is predicted to reside within the Golgi lumen. {ECO:0000250|UniProtKB:Q9NX62}.
